filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,EL10,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,ER10,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,first_frame_0_ILD,save
baj,-8,64.93578111207133,69.35020099437993,69.0845221997714,67.05304653198418,69.42668244147121,68.24670425083575,71.22764488596091,67.60287654703043,68.05288791925379,69.32503431913783,69.89738912418261,64.93578111207133,59.48300146003922,62.1109948894894,61.17217601647942,60.76929822393533,62.814136018019866,60.21826751094277,61.43964536991281,60.8092081579244,62.10221431143006,62.76918740059834,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bak,-8,65.46005163665914,69.99308375360813,68.81241486359907,69.31073054687192,69.2445297776022,68.59991918948057,69.0971217540804,69.26318898546289,70.78890722355307,70.69635027539873,68.31912136706426,65.46005163665914,61.409375782163934,62.32396623413495,60.28026856507017,62.61040111657294,60.15193362991679,63.11545486092653,60.46881070775161,62.47168928855876,61.6367986901435,62.003809086219775,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bal,-8,65.4323113707533,69.90686042430315,69.4931953972839,67.33928384743088,68.15913314906636,69.08230049697893,71.48144135938922,70.52560382001879,71.19427272581383,70.88826658352679,70.87526949580183,65.4323113707533,60.47796153996035,60.87906452996916,61.67605025610355,61.79687123288355,61.613646076400315,59.23319521901634,60.946496003729564,61.6523799651488,62.25300407544882,60.93801321622084,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bam,-8,65.0892740418823,67.54359453928367,72.01062438301241,69.65218052117812,69.63165254581682,69.33546146031463,69.97498839626006,69.47400535494019,67.63375711523263,70.52722048490276,69.12149086888716,65.0892740418823,61.36311724102631,60.94791541652858,62.04740860359241,58.98010283000295,62.72111500450403,61.06366104113927,60.39152936160493,58.623588443442024,60.8880190493005,61.161467187031526,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
ban,-8,64.74520210977312,70.46422590413184,69.27029404068087,70.7213040715499,71.53697201407415,69.0737651385283,69.35928171990714,68.15424125268427,69.76172297925885,70.8399310040409,69.97611877188889,64.74520210977312,61.381411397986525,60.39282239161135,60.010804932183476,60.99434469068343,62.51776401066807,60.54604245112498,61.62828313251465,62.17084513343292,62.61522864473435,61.48473056085968,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bao,-8,65.71847003629293,69.76035917922535,69.26857388684782,70.20710697304028,69.52308941959653,70.41152480043523,68.25509270461363,67.89337560173354,69.23411138274395,68.85881939625806,67.71602096550788,65.71847003629293,62.32225441812154,61.937630314107324,60.96368696499706,59.282639604418705,60.02777072264509,61.061485998409985,60.45933248353755,61.12909443170601,63.46148857507257,62.54945586904959,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bap,-8,64.70279578062858,70.72155101410327,69.51079106066312,69.35010604459634,69.06078546718643,69.37964190280628,68.92264778469345,69.67126305873327,69.39151733672128,68.35047105049546,71.50416576049241,64.70279578062858,60.95449318593568,60.42859495912999,59.937576687354046,61.18457715836403,61.54677630623271,63.88044678027548,61.88300194286357,61.93583991623408,61.09612977969883,60.480573828175764,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
baq,-8,65.83576772399843,69.98089183658843,68.83036170631725,68.21697035061553,67.80081568120853,68.92321752911013,69.21155508097418,69.60190477113302,69.0905967262425,68.73142538964841,68.70647726686694,65.83576772399843,62.371493267548836,61.05851470039828,60.50085321780684,63.752622470698974,60.51015034482096,62.65715108801388,61.33937568064503,60.534732472622764,63.116824520681334,60.76023737428588,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bar,-8,66.21844880174831,67.90182428183375,67.58011929824963,71.0558908537964,69.12853541110977,68.8251228632862,69.05087581727334,68.00010587398647,68.36197072388289,68.57386071900648,70.26990833820352,66.21844880174831,62.89185507771967,62.181587779000324,60.04379940294078,60.367097627741586,62.42627407538045,62.342993748689516,59.678119748767806,60.439835247461275,60.3877825282474,60.44533983722698,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bas,-8,66.17320182718758,68.24889388641674,68.92933815551767,68.95437314442167,68.5824804012545,70.30181691773389,68.07698867348944,69.33238085486295,67.49251501460942,69.27578997432478,69.30230385039569,66.17320182718758,62.14989617519103,60.45386903448387,62.50097958752079,61.578393995580754,61.60272045348555,62.38875417039111,62.89825827678013,59.80612662891474,61.39638707417629,60.1208531322784,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
