filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,EL10,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,ER10,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,first_frame_0_ILD,save
baj,-8,63.201081640247786,64.99016981269396,65.38084962868001,67.40893127132375,67.60210753232165,67.85989576470766,66.81283135101177,66.9604206556453,68.48174147847469,68.71117496317055,66.70106413732043,63.201081640247786,57.43920686459462,58.71749251399552,59.038559412377566,59.0975100763438,59.853772087298346,58.07662740498675,60.86438030480856,59.0404078975725,58.4049231200405,58.21717950361444,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bak,-8,62.1580649990338,67.00692915660804,66.12068307401496,68.07869268099152,68.27445798514198,65.86774222817446,67.47195938263441,67.66643842448018,68.15139204749134,67.15872247210515,69.21302271708834,62.1580649990338,58.31034132892402,57.14330373716496,58.52937107068275,58.598953067224805,55.98318440078139,58.77973694661289,58.593220433410714,58.00116292242218,60.88266415417567,59.24611713869262,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bal,-8,63.610988726196,67.84893779060926,68.66836889878084,66.8451020176936,68.03391798153882,68.35028197033168,66.32892758024958,67.1473361737436,67.74543757393381,65.60842612459759,65.74392001663823,63.610988726196,57.47002982400147,59.30034846164667,59.02851829346108,59.83583308589011,60.53145506206616,60.44257770796632,60.238294653920846,59.52520125985197,58.28179188903824,57.836285933557996,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bam,-8,64.13965509041469,67.25126422179395,68.01934400776615,66.5228995102166,66.34539680917628,65.98003301774246,66.92349190343612,66.98289424525747,65.92271211431616,66.91571264228025,65.3897865428413,64.13965509041469,58.96636044026457,59.149827864566014,58.28194930184881,57.61237453647084,59.85508252682784,60.06571442902997,59.30757850203448,58.96606536334861,58.89045754158127,59.229160422608366,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
ban,-8,64.1645085467727,66.62088289355826,65.99939322737372,68.46290948299827,66.6134781229343,67.86454176762754,68.61546142472488,66.6849955719073,66.86781259803455,67.19134393032215,66.3983569383446,64.1645085467727,61.13348835696962,58.38223427622113,59.37341987299672,59.6130510738487,59.82459494400901,57.87624081448884,61.276882715349124,57.42035525302052,59.54315723349016,59.55103538507674,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bao,-8,63.140423314000785,68.29644546977937,68.95288351306596,67.49570998743303,64.09561270754665,66.09256018319266,68.12708260055443,67.31234676677072,65.89244179672876,69.15139564006444,66.91287132270408,63.140423314000785,58.606786151887604,58.245206059774,58.85073811518868,60.322681123705514,59.767797197390074,58.07462874028422,58.77197108319274,60.79230017033479,59.349663381277956,58.34522517040228,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bap,-8,63.36946434784111,65.35405809019205,65.2197082235893,67.03888391991521,66.9492868629872,69.35709144166354,66.2391409590918,66.65773523826681,69.36799583134557,67.55218226996078,67.63941318455817,63.36946434784111,58.4603193990695,58.511365217843306,60.6736950212601,57.4311030628749,58.51797289074871,59.48110371691783,58.566340787666334,60.25543197061838,60.15557258118948,59.987615512389176,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
baq,-8,62.42198030962233,67.27615472149115,66.51399225354874,66.38709665919309,67.52189269800523,66.47671760310071,65.34335462688144,69.31660193812037,69.17967116489005,66.72658685402294,67.11493010966218,62.42198030962233,57.89343625050532,59.952665350175096,59.6294346355174,58.80965183100499,59.01604647461033,58.738525927205174,58.51643108906065,59.42517433736842,58.607465466804314,59.83023890393936,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bar,-8,63.52383889921131,68.03720002384358,65.93494627336112,66.2059389704842,68.24673901831245,65.43611338304166,65.04675471807558,65.55635424158339,68.28881595946902,66.77007852774533,66.61456242216772,63.52383889921131,58.36525999549737,57.22377065222388,59.76611266702551,59.20414440590448,58.976296492420495,60.15759268805807,59.674790511990984,59.730211262655736,57.63880059893669,58.66182755540226,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bas,-8,62.791434781513686,66.84133869259948,66.53720780638383,67.14251394630435,66.7450878758278,67.43266733941049,68.2850103815704,67.13329785967771,67.6950576816952,66.32323056856531,67.46482544734096,62.791434781513686,56.91189433893807,58.53679172608307,59.15405032682152,59.11635951689492,58.80992327578362,58.67685778170162,58.91028216683317,60.50932358892927,58.68094197332718,58.63579602204166,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
