filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,save
baj,-8,67.07969965012045,65.14742451378932,67.00115008464857,67.76693696690616,67.71156854892358,68.14665817278127,67.44614922775011,66.11865247689391,66.06566943566308,66.14303925104888,60.13761815965732,58.094336584509044,59.59886287995211,57.58103520999482,60.366702487884815,58.083341253776155,59.96397805226342,58.93356036378984,58.74576811241596,58.38477425630231,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bak,-8,64.31816974002477,66.46840836385554,67.33992816936149,66.40966499912952,67.89343825432887,67.32990145213233,68.54700270434748,66.47889790164733,67.38823942664466,66.45561585153779,59.94007774998835,59.525447743775,59.65355097313964,59.05952623640774,59.281606987693756,59.6292835647846,61.28399232945949,59.236206477041534,57.713406803781076,58.4195558110752,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bal,-8,65.95640898590729,67.4040829723913,67.06423847673398,67.44148652359685,66.52966330258745,66.7599205683856,67.70534896643007,66.43201339395462,66.964734644865,65.31803780755794,58.93569222518087,58.73645467756735,59.09787348285784,59.61345946429193,59.08078156943864,59.07735090341251,59.08793424155115,57.435647254420324,58.35219506134965,59.30346036967244,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bam,-8,66.16854247627073,65.2316148835881,67.25866293097997,68.22356913550954,67.09153599876511,67.69219217671213,68.55296691046576,66.84253476817999,68.39102101579279,66.74108314582733,58.596068226206405,59.012302216068505,61.08107864142634,60.382379056508185,57.502549132400944,58.73444208874375,60.60111884371625,60.21220411284809,58.973204958317744,57.884774761355544,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
ban,-8,65.95436248013132,66.35073099857058,67.68269233486139,66.17588514103213,66.87995806505045,65.09119517603823,68.0722035162975,66.78771681105958,67.26934569986311,66.23556676232516,60.362117954638684,60.133227744434684,59.18574081430219,58.32325346942047,59.52395383165754,58.96116586446178,60.38157658098359,60.79967427580451,60.243739322814235,59.34035653982779,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bao,-8,67.79361435958877,65.16534837625066,67.56386884582238,66.88148533979609,67.94736352527781,66.47066835050386,67.53505003267816,65.01871800173028,65.59823277070547,68.57035723010938,60.00546688827305,59.705069468658365,59.33745790606509,58.93422634396435,59.60096568219377,59.950123168820234,59.264082071995816,60.65705576905944,57.98234494136868,59.32848933811498,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bap,-8,65.47477733276926,65.52685345158423,67.35718296620769,66.94470005357725,67.57357259430192,67.90712673090275,68.04751984357199,66.25719508354173,66.01500787982809,68.70204439134872,57.34355301968025,59.336577055141284,59.089238228941284,58.499114639695996,59.07379187523976,60.0773885956834,57.85720854937883,58.93900575479344,58.32022560154588,58.69293273156152,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
baq,-8,65.93200869338585,67.72261582702885,66.08086833683063,65.7645279777874,68.62548853877257,68.25047775200836,67.52751236353768,65.86042365151586,67.28513492445009,66.68676646483132,57.85441965808821,57.7470619040309,59.13291365915198,58.405576882346715,58.477168575383345,58.32360094198833,59.59011034366263,58.722564042404144,58.269892106003255,59.26411838085301,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bar,-8,65.9072386408014,67.0741199886515,65.88526631567076,67.35893511690743,68.0879842018454,68.21863605403404,66.4406772247348,66.82750462852731,66.049518409862,67.15855243329972,60.986681436360456,60.0456487258053,60.255676577923644,59.433794258911554,59.11580153643717,58.992011414737,59.790592074984346,58.920577311774814,60.42897751221704,58.163573041939046,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bas,-8,67.01889777091284,67.76372401374479,67.5811749228008,66.35669191878324,68.55420713690224,67.37588522497276,66.22344322574625,66.60476656460666,66.73858129059964,65.72937076367978,59.298371508192574,59.30290388570487,59.03636858733976,60.10250157590153,58.81412034398888,59.91429119063379,58.809412764491945,58.42173948645718,57.74862602930472,58.64162530433977,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
