Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,AWTrials,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,BlockLen,Task,Ephys,Wait,TrialLag,K,Drug,StimDur,Delay,VarDelay,RewardSize,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd
0,0,,0,0,1,0,,,,,0,0.337813,15.672717,15.334904000000002,2.8181000000000003,3.8276,1.0094999999999996,4.3347,5.3347000000000016,1.0000000000000009,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0071,0.0084,1000,1,0.5,5.0,0.0,0,0,1,1,0,1,10,1,0,0.0,0.5,LR,0.0,FD,0,0,0,1,,1.0,0.5,0.5,1.0,/dev/ttyACM-Bpod4,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod4,11,36004,11,1.8.2,011_stage_training_v6_20250730-165942,2025-07-30,16:59:54.743678,18:00:01.029296
1,1,,0,0,1,0,,,,,0,15.685213,31.023916,15.338703,2.8206,3.8301,1.0094999999999996,4.3385,5.338500000000002,1.0000000000000009,iaa,iaa,1,,0,0,1,1,70.0,,[],[],[],[],0.0071,0.0084,1000,1,0.5,5.0,0.0,0,0,1,1,0,1,10,1,0,0.0,0.5,LR,0.0,FD,0,0,0,1,,1.0,0.5,0.4999999999999995,1.0,/dev/ttyACM-Bpod4,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod4,11,36004,11,1.8.2,011_stage_training_v6_20250730-165942,2025-07-30,16:59:54.743678,18:00:01.029296
2,0,,0,0,1,0,,,,,0,31.080114,46.415016,15.334902000000003,2.8181000000000003,3.8276,1.0094999999999996,4.3347,5.3347000000000016,1.0000000000000009,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0071,0.0084,1000,1,0.5,5.0,0.0,0,0,1,1,0,1,10,1,0,0.0,0.5,LR,0.0,FD,0,0,0,1,,1.0,0.5,0.5,1.0,/dev/ttyACM-Bpod4,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod4,11,36004,11,1.8.2,011_stage_training_v6_20250730-165942,2025-07-30,16:59:54.743678,18:00:01.029296
3,1,,0,0,1,0,,,,,0,46.428713,61.767417,15.338704000000002,2.8206,3.8301,1.0094999999999996,4.3385,5.338500000000002,1.0000000000000009,iaa,iaa,1,,0,0,1,1,70.0,,[],[],[],[],0.0071,0.0084,1000,1,0.5,5.0,0.0,0,0,1,1,0,1,10,1,0,0.0,0.5,LR,0.0,FD,0,0,0,1,,1.0,0.5,0.4999999999999995,1.0,/dev/ttyACM-Bpod4,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod4,11,36004,11,1.8.2,011_stage_training_v6_20250730-165942,2025-07-30,16:59:54.743678,18:00:01.029296
4,0,,0,0,1,0,,,,,0,61.781813,77.116716,15.334902999999995,2.8181000000000003,3.8276,1.0094999999999996,4.3347,5.3347000000000016,1.0000000000000009,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0071,0.0084,1000,1,0.5,5.0,0.0,0,0,1,1,0,1,10,1,0,0.0,0.5,LR,0.0,FD,0,0,0,1,,1.0,0.5,0.5,1.0,/dev/ttyACM-Bpod4,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod4,11,36004,11,1.8.2,011_stage_training_v6_20250730-165942,2025-07-30,16:59:54.743678,18:00:01.029296
5,1,,0,0,1,0,,,,,0,77.129913,92.468616,15.338702999999995,2.8206,3.8301,1.0094999999999996,4.3385,5.338500000000002,1.0000000000000009,iaa,iaa,1,,0,0,1,1,70.0,,"[9.1436, 9.2662, 9.7525, 9.7613, 9.8457, 11.7463, 11.8431]","[9.1474, 9.269, 9.7538, 9.762, 9.8691, 11.8145, 12.0781]","[9.2335, 9.6865, 9.7365, 9.8467, 10.2348, 11.7881, 12.0623, 12.0754, 12.6556, 12.8469, 12.9829, 13.1332, 13.4183, 13.5631, 13.7205, 14.6205, 14.7648]","[9.2373, 9.7349, 9.7374, 9.8693, 10.3384, 11.8982, 12.0739, 12.0781, 12.7511, 12.881, 13.0013, 13.1476, 13.4535, 13.6218, 13.7666, 14.675, 14.8401]",0.0071,0.0084,1000,1,0.5,5.0,0.0,0,0,1,1,0,1,10,1,0,0.0,0.5,LR,0.0,FD,0,0,0,1,,1.0,0.5,0.4999999999999995,1.0,/dev/ttyACM-Bpod4,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod4,11,36004,11,1.8.2,011_stage_training_v6_20250730-165942,2025-07-30,16:59:54.743678,18:00:01.029296
6,0,,0,0,1,0,,,,,0,92.484613,107.819516,15.334902999999995,2.8181000000000003,3.8276,1.0094999999999996,4.3347,5.3347000000000016,1.0000000000000009,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0071,0.0084,1000,1,0.5,5.0,0.0,0,0,1,1,0,1,10,1,0,0.0,0.5,LR,0.0,FD,0,0,0,1,,1.0,0.5,0.5,1.0,/dev/ttyACM-Bpod4,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod4,11,36004,11,1.8.2,011_stage_training_v6_20250730-165942,2025-07-30,16:59:54.743678,18:00:01.029296
7,1,,0,0,1,0,,,,,0,107.84121299999998,123.179916,15.33870300000001,2.8206,3.8301,1.0094999999999996,4.3385,5.338500000000002,1.0000000000000009,iaa,iaa,1,,0,0,1,1,70.0,,"[5.7534, 5.8769, 6.0159, 6.3561000000000005]","[5.8066, 5.933400000000001, 6.0791, 6.3885000000000005]","[13.9551, 14.1111, 14.2827, 14.8579, 15.0463]","[14.0154, 14.1682, 14.2998, 14.9512, 15.1035]",0.0071,0.0084,1000,1,0.5,5.0,0.0,0,0,1,1,0,1,10,1,0,0.0,0.5,LR,0.0,FD,0,0,0,1,,1.0,0.5,0.4999999999999995,1.0,/dev/ttyACM-Bpod4,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod4,11,36004,11,1.8.2,011_stage_training_v6_20250730-165942,2025-07-30,16:59:54.743678,18:00:01.029296
8,0,,0,0,1,0,,,,,0,123.193513,138.528416,15.334902999999995,2.8181000000000003,3.8276,1.0094999999999996,4.3347,5.3347000000000016,1.0000000000000009,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],"[12.1357, 12.2554, 12.6885, 12.8536, 12.9774, 13.2056, 13.3121, 13.4434]","[12.1789, 12.3057, 12.765, 12.8926, 12.9974, 13.2293, 13.342, 13.4739]",0.0071,0.0084,1000,1,0.5,5.0,0.0,0,0,1,1,0,1,10,1,0,0.0,0.5,LR,0.0,FD,0,0,0,1,,1.0,0.5,0.5,1.0,/dev/ttyACM-Bpod4,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod4,11,36004,11,1.8.2,011_stage_training_v6_20250730-165942,2025-07-30,16:59:54.743678,18:00:01.029296
9,1,,0,0,1,0,,,,,0,138.543413,153.882116,15.33870300000001,2.8206,3.8301,1.0094999999999996,4.3385,5.338500000000002,1.0000000000000009,iaa,iaa,1,,0,0,1,1,70.0,,[],[],[],[],0.0071,0.0084,1000,1,0.5,5.0,0.0,0,0,1,1,0,1,10,1,0,0.0,0.5,LR,0.0,FD,0,0,0,1,,1.0,0.5,0.4999999999999995,1.0,/dev/ttyACM-Bpod4,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod4,11,36004,11,1.8.2,011_stage_training_v6_20250730-165942,2025-07-30,16:59:54.743678,18:00:01.029296
